"","nl12","nl13","nl14","nl15","nl16","nl17","nl18","nl19","nl20"
"288",5.7944872379303,2.31633377075195,0.554915577173233,0.87754513323307,0.515754692256451,0.878131926059723,1.07384254038334,0.939957201480865,0.791888117790222
"289",0.718250293284655,1.11481803655624,1.03629086911678,0.998532682657242,0.656331673264503,1.09871565550566,0.880159646272659,1.61571224033833,0.705320343375206
"290",0,0,0,0,0,0,0,0,0
"291",0.122311246891816,1.08752281963825,1.10440270105998,1.16878659526507,0.618847419818242,0.984609887003899,1.61193920175234,1.95674048860868,1.70571186145147
"292",2.39899692752145,4.56636787544597,4.90338683128357,4.72862281582572,3.2692333351482,4.93199344114824,13.5994456464594,16.8099412918091,13.4406235001304
"293",0,0,0,0,0,0,0,0,0
"294",0.236810791492462,0.917619055509567,1.00293589234352,0.787457299232483,0.568612486124039,1.00687661767006,1.32772129774094,1.80560830235481,1.39092427492142
"295",0,0,0,0,0,0,0,0,0
"296",0,0,0,0,0,0,0,0,0
"297",0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0,0,0
"299",0,0,0,0,0,0,0,0,0
"300",0,0,0,0,0.000416541300668307,0.00178311573215789,0.00155473267373863,0.00184205777806007,0.00221788883209229
"301",0.117862131765911,0.463751200267247,0,0,0,0,0,0,0
"302",0,0,0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0
"305",1.29216080904007,2.04869358880179,1.11887675523758,0.803821265697479,0,0.596054417746408,0.0958258594785418,0.183619703565325,0.503531336784363
"306",0,0,0,0,0,0,2.53175258636475,0,0
"307",0,0.162625197441347,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0
"309",0,0.0782098355037825,0,0,0,0.115629151463509,0,0.0654628894158772,0.0598536410502025
"310",0,0,0,0.541571624138776,0.319234020569745,0,0,0,0
"311",0,0.218554842472076,0,0.0809014558792114,0.0705166935920715,0.110789179801941,0.215361320972443,0.118859696388245,0.128706324100494
"312",0.894616397944364,0.803800791501999,0.774414961988276,0.841223749247464,0.786663987419822,1.07341019131921,0.880390172654932,1.07962345535105,1.12692873586308
"313",0,0,0,0,0,0,0,0.0971657405881321,0.318087584832135
"314",0,0,0,0,0,0,0,0,0
"315",0,0,0.91002012292544,0,0,0,0,0,0.0467452456553777
"316",0,0.062205390797721,0.0157094448804855,0,0,0.866175939639409,1.59515818787946,1.27228737208578,0.111247380574544
"317",2.42102071974013,2.52380506218308,2.95600009171499,1.26754044079118,0.99460880106522,1.63424981137117,2.46716924094492,4.57164080192645,3.06291185153855
"318",0.275287485718727,0.112912870943546,0.0897739410400391,0,0,0,0,0,0
"319",0,0,0,0,0.000972714237375178,0,0.0057472568978022,0.00522290097022558,0.00216415136564735
"320",0,0,0,0,0,0,0,0,0
"321",0.933231763541698,0,1.75133141875267,1.12888135015965,1.50959235429764,1.70531544089317,2.0907526910305,2.23893535137177,1.94491070508957
"322",3.97951080203056,-0.3,3.28583824634552,4.05018193125725,6.13908679485321,7.43181576728821,13.8883469581604,12.1154037952423,7.514106798172
"323",1.55474625642483,2.36391448974609,0.893880330599271,1.26004583331255,0.820153985817272,1.24274459710488,1.27073675852555,0.701849538546342,0.228728567178433
"324",0.409035273790359,1.13387993991375,0.683456506729126,0.902837826013565,0.072311230301857,0.659206997156143,0,0,0
"325",0.786567912198776,2.64969964706621,0.84693518280983,1.73977867669837,0.682657770292703,1.56380695866984,1.45404270222021,0.769279029480247,0.49231319649275
"326",0.49145645275712,-0.221175332864126,0.821763262152672,0.483211557070414,1.07099322477976,1.80529345571995,2.74109876155853,1.89888853331407,2.08950410783291
"327",0.169736456871033,0,0.461839658021927,0.366035622358322,0.217536246776581,0.282734203338623,0.581068301200867,0.505597078800201,0.786765789985657
"328",0.125730121544763,0.135831703596255,0.146573268315371,0.04415168949202,0.0216348404247387,0.120031389681732,0.0935078464886721,0.0961566909271128,0
"329",0,0.977604431055841,0.778167767184121,0.578427139492262,0.486984389878455,0.616707533243157,1.1683250211534,0.767686581327802,0.438406475952693
"330",0.555791888386011,0.554445513989776,0.946005447457234,0.690109467444321,0.137823573585289,0.60573579929769,0.446487267191211,0.435344006866217,0.294273138046265
"331",5.16188475820753,8.18619918823242,7.9292582405938,6.44187137815687,3.96366008122762,5.08749720785353,0,3.85907027456495,3.08404649628533
"332",14.8720468819141,7.68314223686854,23.6785313208898,18.8894642114639,19.8725686083237,14.7619579007228,0.00929383039474487,10.4747817416986,4.12845192154249
"333",4.19119400869716,0.632397911765359,12.0700082778931,8.16075953570279,7.67232801697471,4.76136659492146,0,3.35685707764192,1.81073917583986
"334",0,0,0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,0,0
"337",0,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,0,0,0,0
"339",0,0,0,0,0,0,0,0,0
"340",0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,0,0,0
"342",2.87279849481848,2.625344246543,2.8790232665184,3.2431508710968,2.35764808809807,2.35301204852667,3.00445924664074,3.04218738176892,2.87773178772734
"343",0,0,0,0,0,0,0,0,0
"344",0.93214538693428,0.617989930841658,0,0,0,0,0,0,0
"345",1.11703425645828,1.14472441569619,1.52112341445425,0.966534041840097,0.856482549853947,1.26711950353954,1.18419018258219,1.29437087411466,1.31017134241436
"346",0,0,0,0,0,0,0,0,0
"347",1.28752464602391,1.52281685173512,1.56302558283011,1.13980453064044,1.01248027632634,0.798579344153404,0.685955586532752,0.62037826081117,0.299192414184411
"348",1.15742619335651,0.86750128865242,0.922291919589043,0.947659194469452,0.596581816673279,0.850571900606155,0.575719758868217,0.962030783295631,1.03663378953934
"349",1.93863262732824,0.691416343053182,0,0,0,0,0,0,0
"350",0.260719907283783,0.381699089705944,0.464896807074547,0.240007701516151,0.209798638522625,0.211115674674511,0.183679375052452,0.208971461653709,0
"351",0.450715500116348,1.5705365562439,0.418140475153923,0.205854958295822,0,0,0,0,0
"352",0.420466232299805,0.141748088598251,0.0310147807002068,0,0,0,0,0,0
"353",1.24007737636566,0.376790881156921,1.04720765352249,1.17533413569132,0.675890465577443,0.208819270133972,0.281997481981913,1.03107333183289,0.787156263987223
"354",0,0.164157843589783,0,0,0,0,0,0,0
"355",0.107109450481155,0.63366285237399,0.16357558965683,0.165306616913189,0,0,0,0,0.175329205664721
"356",0,0.126844654480616,0,0,0,0,0,0,0
"357",0.121373581700027,0.110364317893982,0.296528931707144,0,0,0,0.126346495002508,0.259237039834261,0.297253217548132
"358",0.0581872330771552,1.1153883934021,0.0637722280290392,0,0,0,0,0.0732379555702209,0.0734366443422106
"359",0.44948595099979,0.361167705721325,0.568177945084042,0.481273704104953,0.174239128828049,0.239316417111291,0.28570259279675,0.736663195821974,0.532497889465756
"360",0.458670385926962,1.0877897789272,1.75296035065101,2.02436861533385,1.50585993390817,2.41898090335039,3.16297193307143,3.59211557736764,2.79855983165594
"361",1.0256683122028,1.27061125365171,1.42983485080979,1.56977101483128,1.34433359585025,1.59328729185191,1.66258258711208,1.54719531536102,1.36205470020121
"362",0.946391914572035,0.861239697252001,0.986000214304243,0.836588493415288,0.583788744040898,0.65037020615169,0.997254065104893,0.994499657835279,0.700057923793793
"363",1.05078067183495,0.801954305171967,2.06529124975204,2.81568946838379,2.03848021030426,1.3572857260704,2.83622975349426,2.22510387897491,1.9497252702713
"364",1.72779983282089,0.863893926143646,2.58860464890798,2.98071759939194,1.52951471010844,1.81644900639852,2.52210462093353,2.29572266340256,1.44099626938502
"365",1.6160822974311,1.58369031217363,3.52354907989502,3.24572177728017,1.90998927089903,2.37619556321038,2.40228521161609,1.61197704739041,0.0760512087080214
"366",0.160973843364489,0.287760294619061,0.627603928248088,0.0269354212851751,0.0350182439599718,0.0242005387941996,0.298744695527213,0.0310350713275728,0.0534578221184867
"367",0,0,0,0,1.64198340826175,2.60484835593139,2.29935403781779,2.32202929258347,1.63852513187072
"368",1.45427522514211,0.75567391710846,1.49588310091119,1.08643819391727,0.374777345673034,0.835922338068485,1.36574911130102,1.38704595048177,0.650958441982144
"369",0,0,0,0,0,0,0,0,0
"370",0.682136063064848,0.611270051626932,0.185529312917164,0.217370260329474,0.532301450059527,0.134619894481841,0.081030459631057,0.15717548699606,0.0828014555431548
"371",0.951855137944221,0.634166017174721,0.896450132131577,1.31364944577217,0.171394601464272,0.167262971401215,0.202804237604141,1.06855790317059,0.604634255170822
"372",1.47734074989955,0.976336699724197,0.576485967636108,0.812838339805603,0.0456611235936483,0,0,0.279982642332713,0.235070745150248
"373",0,0,0,0,0,0,0,0,0
"374",0,0,0.268875509500504,0,0,0,0,0,0
"375",0,0,0.373684505621592,0,0,0,0,0,0
"376",0.56163031856219,1.18211132287979,1.81892345348994,1.0525890092055,0.581565901637077,0.94618875781695,1.11757892370224,0.978206654389699,0.684189697106679
"377",0.351638640960058,0.846338025728862,1.97576070229212,1.24015756845474,0.373577046394348,1.99060069918632,1.15092817942301,0.58858281771342,0.277427236239115
"378",0,0,0,0,0,0,0,0.846152673165003,0.814070999622345
"379",0.0362445369362831,0,1.30928410589695,1.52902027368546,2.69556673169136,2.00007294416428,1.78634536862373,2.6967541217804,2.53954584598541
"380",0.0964644551277161,0.702727031707764,0.524270904064178,0.364911687374115,0.255774414539337,1.68183064460754,1.41685311794281,1.4131927728653,1.22083759307861
"381",0.36988145361344,1.76312637825807,2.31120760242144,1.51929306487242,0.475806872049967,0.564283132553101,0.492718199888865,0.432077596584956,0.238001147905986
"382",0.659558097521464,2.71478895346324,5.09631264209747,10.486082871755,6.75136625766754,4.26060171922048,4.99027478694916,6.16764620939891,6.40756905078888
"383",0.386258259415627,0.39983231574297,0.105066902935505,0,0,0.393028989434242,0.400053352117538,0.378137558698654,0.188763856887817
"384",0.153538505236308,0.522498259941737,0.305890113115311,0.219272494316101,0.11559076110522,0.50815087556839,0.824562390645345,0.520725309848785,0.54902458190918
"385",0,0.199984401464462,0.183534067869186,0.266292285919189,0.0693544566631317,0.15461083650589,0.886793899536133,0.621114420890808,2.37203667163849
"386",1.1072713509202,1.30927714492593,2.17060459724494,1.21779375310455,0.920886270169701,3.51407688643251,9.08747823323522,7.83351764934404,4.30108441412449
"387",0,0,0,0,0,0,0.602031752467155,0.51842337846756,0
"388",0.353484272956848,1.31768255613067,1.80660464546897,1.06896334344691,1.3378091508692,2.09281146526337,2.06994267485359,1.64432694153352,0.99465485052629
"389",1.31940179026645,1.81213431643403,2.07539977716363,1.15542295575142,0.55791987673096,2.26394447036411,2.09498508598494,2.2598904552667,2.16847204643747
"390",0.774918802785424,0.791556796375311,1.04376425720611,0.956150209004024,0.636454969363393,1.1008971069219,1.09330817382291,1.33987071491637,0.674911605299644
"391",0.50244182233627,0.805388873013166,2.12935648743923,0.386734046615087,0.100069464112704,0.789909024651234,1.83340114125839,1.62530142641985,0.788014926589452
"392",0.278796856467788,0.662044239205283,0.698478897681107,1.67899328792417,1.91947173105704,2.99149829632527,1.8575180559545,3.54973788519163,2.36004220794987
"393",0.282173665506499,0.436195181948798,0.601978893790926,1.23182660341263,0.743452042341232,1.97822395392827,2.52593567541667,3.06716675417764,1.52260082960129
"394",0.612274882885126,0.641332468161216,1.48745025579746,1.30913169108904,0.28979246203716,3.38077270067655,4.06703887535976,1.8443039563986,0.79733393742488
"395",1.27233715355396,2.43821382522583,2.77617311477661,2.88819298148155,2.4499785900116,2.28764213621616,2.98141691088676,3.27342143654823,2.46823148429394
"396",0.0885754749178886,0.403614564333111,0.677232700400054,0.483229219913483,0.326159590855241,1.08226996194571,1.34910975024104,0.163367323577404,0.214783428236842
"397",0,0,0,0,0,0.0735359668731689,0.104757714271545,0.0962250411510468,0
"398",0,0,0,0,0.209666207432747,0.590754181146622,0.753727644681931,0.944195359945297,0.514389023184776
"399",0.311238538473845,0.475516989827156,0.793226048350334,0.434034258127213,0.37066438049078,0.659214332699776,0.849585503339767,0.850964024662971,0.953063279390335
"400",4.08893365859985,2.06752164363861,13.3150261878967,11.9190553665161,9.34200925827026,10.6407452106476,11.5437349796295,9.75770728588104,15.4595227003098
"401",0.217188866301016,0.967592128298499,1.58281767910177,1.23818395896391,1.12841009280898,1.87070390311154,2.09495860880071,6.50508589094335,4.99019089612094
"402",0,0,0,0,0,0,0,0,0
"403",0,1.01848562061787,2.00072854757309,1.3953198492527,1.59659931063652,1.3706718981266,1.90306711196899,6.87311601638794,5.33610838651657
"404",0.712311753952825,0.859502709395177,1.4181438926104,0.459651593420957,0.452501486282091,0.231874936335796,1.89401432791272,3.34677166552157,2.57474383631268
"405",0.0745314210653305,0.729125320911407,1.56262262662252,0.965122620264689,1.13696497678757,1.07900170485179,1.23427625497182,1.71644067764282,1.60062328974406
"406",0,0,0,0,0.266240544617176,0.605022013187408,0.848196983337402,1.28935605287552,0.683002978563309
"407",0,0,0,0,0.181329965591431,0.589893122514089,0.828604936599731,0.722405602534612,0.29615917801857
"408",0,0.181006383895874,0.210940712690353,0.111563372612,0,0.0932978272438049,0.146380364894867,0,0
"409",0,0,0.149639382958412,0,0,0,0.182024627923965,0,0
"410",0.205832714835803,0.440918798247973,0.285885001222293,0.0893542369206746,0.173079152901967,0.178025116523107,0.231045246124268,0.0958317120869954,0.344540238380432
"411",1.49833615793257,1.28826913602498,2.51698605929102,2.17042138807628,1.43161817047061,1.32131174115502,0.721264370850154,1.27354198207661,0.715178812949025
"412",0.687578251201009,1.05241225920026,2.21756132254525,1.22119063257225,0.78420715850024,0.954124401013056,1.06588414689851,0.833619644717565,0.638757432737048
"413",0,0,1.02832578122616,0,0.426583051681519,0.264767736196518,0.202822864055634,0,0.198011696338654
"414",0,0.653269529342651,1.65654712915421,0.916962802410126,0.746294409036636,0.48444128036499,0.885227054357529,1.11484742164612,0.943843007087708
"415",0,0.20616070429484,1.40901011228561,0.291464487711589,0.426507214705149,0,0.85694146156311,0.347827672958374,0.55962598323822
"416",0.723844718188047,0.546475836386283,0.919566810131073,1.07364072650671,0.949268867572149,0.938420251011848,1.354549224178,1.54956942796707,1.4153401752313
"417",2.180541144477,1.62725475430489,2.86164998345905,2.02743416693476,0.847776664627923,1.03612450427479,1.36715015769005,1.31340929203563,1.29780840211444
"418",0.935159551600615,0.729887274404367,1.17488607640068,0,0,0,0,0,0
"419",0,0,0,0,0,0,0,0,0
"420",4.69431767463684,1.58178128004074,3.90768098831177,4.61783123016357,6.52608885765076,5.69174637794495,5.33847680091858,5.50557751655579,7.14248943328857
"421",0.729393277317286,1.00721310824156,0.84802071005106,0.890261821448803,0.951084710657597,1.02376809716225,0.961586825549603,1.41394063830376,1.03346721827984
"422",1.04888256913737,0.587417489603946,0.956728461541628,1.23133128567746,0.873841997824217,0.825277008508381,1.03009610740762,1.74848802466142,3.19129992786207
"423",0,0,0,0,0,0,0,0,0
"424",0,0,0,0,0,0,0,0,0
"425",0,0.123862703641256,0,0,0,0,0,0,0
"426",0,0,0,0,0,0,0,0,0
"427",1.49745737430122,1.59123459292783,2.58939196003808,2.81344828671879,3.23154907590813,3.49487527542644,3.48986199332608,3.08673963778549,2.22812502417299
"428",0,0,0,0.824750678879874,0.903406611510685,0.723990644727434,0,0,0
"429",1.89397005240122,0.248087318738302,0.868995917836825,0.627023017406464,0.495970602830251,1.4135749955972,1.01265594561895,0.573094662030538,0.0864053010940552
"430",0,0,0,0,0,0,0,0,0
"431",0,0,0,0,0,0,0,0,0
"432",0.544081225991249,0.19163345793883,0.294357677300771,0,0,0,0,0,0
"433",0.0140220172264997,0.0209699588663438,0,0,0,0,0,0,0
"434",2.65798146242187,1.28978024529559,2.65521158207031,2.35620059498719,2.18693099419276,3.53981624898456,2.74539958792073,2.06681217891829,0.178061438458306
"435",0,0,0,0,0,0,0,0,0
"436",0,0,0,0,0,0,0,0,0
"437",0.572889804840088,0.602511834353209,0.353107579052448,0,0,0,0,0,0
"438",0.460295150677363,0.219712983506421,0.462103833754857,0,0,0,0,0,0
"439",0.789462665716807,0.207736007869244,1.38519041736921,0,0,0,0,0.0333720743656158,0
"440",0.402793513403998,0,0,0,0,0,0,0,0
"441",1.00295727593558,0.688778984493443,0.726644856589181,0,0,0,0,0,0
"442",1.91404462605715,0.908957274258137,0.928422363847494,0.965491482615471,1.18774402439594,1.54654988348484,1.8262272760272,1.67230520099401,0.449816769361496
"443",0.0854281999848106,0.128603984009136,0.258546601642262,0,0,0,0,0,0
"444",0,0,0.500841474533081,0,0,0,0,0,0
