"","region","year","expenditure","exp_schooling","mean_schooling","life_exp_birth","hdi"
"1566","Pringsewu",2013,8934,12.27,7.51,67.69,66.14
"1567","Pringsewu",2014,8992,12.47,7.53,68.01,66.58
"1568","Pringsewu",2015,9020,12.75,7.83,68.61,67.55
"1569","Pringsewu",2016,9533,12.76,7.84,68.88,68.26
"1570","Pringsewu",2017,9731,12.77,7.85,69.14,68.61
"1571","Pringsewu",2018,10190,12.78,8.01,69.44,69.42
"1572","Pringsewu",2019,10289,12.82,8.19,69.85,69.97
"1573","Pringsewu",2020,10262,12.83,8.38,70.08,70.3
"1574","Mesuji",2010,NA,9.96,NA,66.3,NA
"1575","Mesuji",2011,6402,10.06,5.62,66.44,57.32
"1576","Mesuji",2012,6503,10.15,5.63,66.57,57.67
"1577","Mesuji",2013,6706,10.25,5.65,66.7,58.16
"1578","Mesuji",2014,6764,10.34,5.8,67.05,58.71
"1579","Mesuji",2015,6836,10.78,6.12,67.15,59.79
"1580","Mesuji",2016,7099,11.2,6.13,67.32,60.72
"1581","Mesuji",2017,7319,11.59,6.39,67.49,61.87
"1582","Mesuji",2018,7774,11.61,6.6,67.71,62.88
"1583","Mesuji",2019,8144,11.62,6.61,68.04,63.52
"1584","Mesuji",2020,7894,11.63,6.88,68.19,63.63
"1585","Tulang Bawang Barat",2010,NA,10.23,NA,68.41,NA
"1586","Tulang Bawang Barat",2011,6687,10.52,6.35,68.5,60.13
"1587","Tulang Bawang Barat",2012,6814,10.81,6.42,68.58,60.77
"1588","Tulang Bawang Barat",2013,7045,11.01,6.48,68.66,61.46
"1589","Tulang Bawang Barat",2014,7137,11.29,6.81,68.98,62.46
"1590","Tulang Bawang Barat",2015,7332,11.49,6.82,69.08,63.01
"1591","Tulang Bawang Barat",2016,7450,11.97,6.83,69.21,63.77
"1592","Tulang Bawang Barat",2017,7747,11.98,7.09,69.35,64.58
"1593","Tulang Bawang Barat",2018,8205,11.99,7.1,69.56,65.3
"1594","Tulang Bawang Barat",2019,8532,12.04,7.13,69.88,65.93
"1595","Tulang Bawang Barat",2020,8395,12.05,7.24,70,65.97
"1596","Pesisir Barat",2010,NA,NA,NA,60.78,NA
"1597","Pesisir Barat",2011,NA,NA,NA,60.99,NA
"1598","Pesisir Barat",2012,NA,NA,NA,61.19,NA
"1599","Pesisir Barat",2013,7085,10.62,7.35,61.37,58.95
"1600","Pesisir Barat",2014,7169,11.12,7.36,61.74,59.76
"1601","Pesisir Barat",2015,7251,11.53,7.47,62.04,60.55
"1602","Pesisir Barat",2016,7616,11.85,7.48,62.29,61.5
"1603","Pesisir Barat",2017,7890,11.95,7.58,62.54,62.2
"1604","Pesisir Barat",2018,8355,11.97,7.59,62.85,62.96
"1605","Pesisir Barat",2019,8652,11.98,7.82,63.27,63.79
"1606","Pesisir Barat",2020,8457,11.99,8.01,63.5,63.91
"1607","Kota Bandar Lampung",2010,10209,12.2,9.56,70.21,71.11
"1608","Kota Bandar Lampung",2011,10282,12.6,9.95,70.23,72.04
"1609","Kota Bandar Lampung",2012,10429,13.05,10.16,70.24,72.88
"1610","Kota Bandar Lampung",2013,10618,13.22,10.77,70.26,73.93
"1611","Kota Bandar Lampung",2014,10702,13.31,10.85,70.55,74.34
"1612","Kota Bandar Lampung",2015,11090,13.35,10.87,70.65,74.81
"1613","Kota Bandar Lampung",2016,11266,13.67,10.88,70.75,75.34
"1614","Kota Bandar Lampung",2017,11699,13.87,10.89,70.84,75.98
"1615","Kota Bandar Lampung",2018,11952,14.23,10.9,71.01,76.63
"1616","Kota Bandar Lampung",2019,12255,14.53,10.92,71.28,77.33
"1617","Kota Bandar Lampung",2020,12197,14.64,10.93,71.37,77.44
"1618","Kota Metro",2010,9953,12.74,9.4,70.59,71.37
"1619","Kota Metro",2011,10061,13.08,9.74,70.62,72.23
"1620","Kota Metro",2012,10281,13.47,9.75,70.65,72.86
"1621","Kota Metro",2013,10494,13.85,10.47,70.68,74.27
"1622","Kota Metro",2014,10606,14.25,10.54,70.98,74.98
"1623","Kota Metro",2015,10707,14.26,10.55,70.98,75.1
"1624","Kota Metro",2016,11007,14.27,10.56,71.05,75.45
"1625","Kota Metro",2017,11397,14.28,10.57,71.13,75.87
"1626","Kota Metro",2018,11636,14.29,10.61,71.29,76.22
"1627","Kota Metro",2019,12017,14.34,10.64,71.55,76.77
"1628","Kota Metro",2020,11906,14.47,10.96,71.63,77.19
"1629","KEP. BANGKA BELITUNG",2010,10707,10.48,7.07,69.15,66.02
"1630","KEP. BANGKA BELITUNG",2011,10808,10.7,7.19,69.31,66.59
"1631","KEP. BANGKA BELITUNG",2012,11218,10.79,7.25,69.48,67.21
"1632","KEP. BANGKA BELITUNG",2013,11657,10.96,7.32,69.64,67.92
"1633","KEP. BANGKA BELITUNG",2014,11691,11.18,7.35,69.72,68.27
"1634","KEP. BANGKA BELITUNG",2015,11781,11.6,7.46,69.88,69.05
"1635","KEP. BANGKA BELITUNG",2016,11960,11.71,7.62,69.92,69.55
"1636","KEP. BANGKA BELITUNG",2017,12066,11.83,7.78,69.95,69.99
"1637","KEP. BANGKA BELITUNG",2018,12666,11.87,7.84,70.18,70.67
"1638","KEP. BANGKA BELITUNG",2019,12959,11.94,7.98,70.5,71.3
"1639","KEP. BANGKA BELITUNG",2020,12794,12.05,8.06,70.64,71.47
"1640","Bangka",2010,9583,11.09,7.25,70.28,66.41
"1641","Bangka",2011,10019,11.19,7.54,70.35,67.37
"1642","Bangka",2012,10320,11.21,7.76,70.4,67.99
"1643","Bangka",2013,10647,12.01,7.88,70.45,69.34
"1644","Bangka",2014,10679,12.33,7.92,70.47,69.79
"1645","Bangka",2015,10904,12.36,7.94,70.48,70.03
"1646","Bangka",2016,11279,12.37,7.96,70.52,70.43
"1647","Bangka",2017,11420,12.58,8.19,70.56,71.09
"1648","Bangka",2018,12043,12.68,8.2,70.73,71.8
"1649","Bangka",2019,12480,12.76,8.23,70.99,72.39
"1650","Bangka",2020,12416,12.77,8.24,71.06,72.4
"1651","Belitung",2010,11302,10.12,7.28,70.04,66.79
"1652","Belitung",2011,11433,10.28,7.33,70.1,67.17
"1653","Belitung",2012,11874,10.44,7.42,70.15,67.87
"1654","Belitung",2013,12344,10.6,8.02,70.2,69.27
"1655","Belitung",2014,12375,10.77,8.07,70.22,69.56
"1656","Belitung",2015,12443,11.32,8.09,70.32,70.29
"1657","Belitung",2016,12865,11.47,8.1,70.38,70.81
"1658","Belitung",2017,12910,11.51,8.11,70.44,70.93
"1659","Belitung",2018,13281,11.83,8.15,70.64,71.7
"1660","Belitung",2019,13662,11.84,8.41,70.94,72.46
"1661","Belitung",2020,13554,11.85,8.46,71.05,72.51
"1662","Bangka Barat",2010,10064,9.84,5.99,69.24,63.16
"1663","Bangka Barat",2011,10265,10.13,6.16,69.32,64
"1664","Bangka Barat",2012,10680,10.41,6.3,69.39,64.92
"1665","Bangka Barat",2013,11122,10.7,6.43,69.44,65.85
"1666","Bangka Barat",2014,11154,10.99,6.57,69.46,66.43
"1667","Bangka Barat",2015,11243,11.48,6.68,69.47,67.23
"1668","Bangka Barat",2016,11303,11.49,6.89,69.52,67.6
"1669","Bangka Barat",2017,11394,11.5,7.06,69.56,67.94
"1670","Bangka Barat",2018,12011,11.51,7.18,69.73,68.68
"1671","Bangka Barat",2019,12275,11.52,7.21,69.99,69.05
"1672","Bangka Barat",2020,12233,11.53,7.22,70.06,69.08
"1673","Bangka Tengah",2010,10921,10.25,6.31,69.75,65.1
"1674","Bangka Tengah",2011,10988,10.95,6.35,69.83,66.09
"1675","Bangka Tengah",2012,11544,11.03,6.5,69.9,66.88
"1676","Bangka Tengah",2013,12133,11.1,6.65,69.95,67.67
"1677","Bangka Tengah",2014,12170,11.4,6.68,69.98,68.09
"1678","Bangka Tengah",2015,12210,11.72,6.7,70.28,68.66
"1679","Bangka Tengah",2016,12248,11.73,6.71,70.38,68.76
"1680","Bangka Tengah",2017,12330,11.74,6.79,70.49,68.99
"1681","Bangka Tengah",2018,12836,11.75,6.8,70.78,69.52
"1682","Bangka Tengah",2019,13070,11.76,7.13,71.16,70.33
"1683","Bangka Tengah",2020,12909,11.81,7.19,71.36,70.45
"1684","Bangka Selatan",2010,9795,9.32,5.34,66.19,59.98
"1685","Bangka Selatan",2011,9851,9.62,5.39,66.31,60.53
"1686","Bangka Selatan",2012,10216,9.78,5.44,66.41,61.17
"1687","Bangka Selatan",2013,10609,10.45,5.83,66.51,62.96
"1688","Bangka Selatan",2014,10633,10.86,5.87,66.56,63.54
"1689","Bangka Selatan",2015,10824,10.88,5.88,66.86,63.89
"1690","Bangka Selatan",2016,10932,11.25,5.96,66.99,64.57
"1691","Bangka Selatan",2017,10999,11.34,6.12,67.13,65.02
"1692","Bangka Selatan",2018,11573,11.35,6.36,67.47,65.98
"1693","Bangka Selatan",2019,11910,11.36,6.42,67.9,66.54
"1694","Bangka Selatan",2020,11757,11.37,6.67,68.16,66.9
"1695","Belitung Timur",2010,9533,10.03,6.96,70.88,64.99
"1696","Belitung Timur",2011,9647,10.32,7.24,70.94,65.86
"1697","Belitung Timur",2012,9760,10.51,7.51,70.98,66.59
"1698","Belitung Timur",2013,10233,10.71,7.83,71.01,67.71
"1699","Belitung Timur",2014,10272,10.94,7.89,71.03,68.1
"1700","Belitung Timur",2015,10523,11.28,7.91,71.23,68.83
"1701","Belitung Timur",2016,10729,11.46,7.95,71.3,69.3
"1702","Belitung Timur",2017,10894,11.48,8,71.37,69.57
"1703","Belitung Timur",2018,11302,11.49,8.14,71.59,70.22
"1704","Belitung Timur",2019,11831,11.51,8.15,71.9,70.84
"1705","Belitung Timur",2020,11730,11.52,8.22,72.03,70.92
"1706","Kota Pangkal Pinang",2010,13746,12.04,9.46,72.18,74.68
"1707","Kota Pangkal Pinang",2011,13784,12.26,9.51,72.22,75.02
"1708","Kota Pangkal Pinang",2012,14132,12.58,9.56,72.26,75.69
"1709","Kota Pangkal Pinang",2013,14507,12.69,9.62,72.29,76.14
"1710","Kota Pangkal Pinang",2014,14619,12.74,9.63,72.31,76.28
"1711","Kota Pangkal Pinang",2015,14707,12.76,9.75,72.51,76.61
"1712","Kota Pangkal Pinang",2016,14807,12.77,9.76,72.57,76.73
"1713","Kota Pangkal Pinang",2017,14923,12.78,9.77,72.64,76.86
"1714","Kota Pangkal Pinang",2018,15560,12.83,9.78,72.86,77.43
"1715","Kota Pangkal Pinang",2019,15883,12.99,9.8,73.17,77.97
"1716","Kota Pangkal Pinang",2020,15663,13.15,9.92,73.3,78.22
"1717","KEPULAUAN RIAU",2010,12267,11.51,9.38,68.42,71.13
"1718","KEPULAUAN RIAU",2011,12513,11.61,9.46,68.63,71.61
"1719","KEPULAUAN RIAU",2012,12740,11.9,9.58,68.85,72.36
"1720","KEPULAUAN RIAU",2013,12942,12.26,9.63,69.05,73.02
"1721","KEPULAUAN RIAU",2014,13019,12.51,9.64,69.15,73.4
"1722","KEPULAUAN RIAU",2015,13177,12.6,9.65,69.41,73.75
"1723","KEPULAUAN RIAU",2016,13359,12.66,9.67,69.45,73.99
"1724","KEPULAUAN RIAU",2017,13566,12.81,9.79,69.48,74.45
"1725","KEPULAUAN RIAU",2018,13976,12.82,9.81,69.64,74.84
"1726","KEPULAUAN RIAU",2019,14466,12.83,9.99,69.8,75.48
"1727","KEPULAUAN RIAU",2020,14209,12.87,10.12,69.96,75.59
"1728","Karimun",2010,10449,11.62,6.88,68.2,66.4
"1729","Karimun",2011,10673,11.68,6.89,68.51,66.82
"1730","Karimun",2012,10876,11.74,7.25,68.77,67.67
"1731","Karimun",2013,11053,11.8,7.67,68.93,68.52
"1732","Karimun",2014,11090,11.86,7.73,69.01,68.72
"1733","Karimun",2015,11248,11.87,7.74,69.71,69.21
"1734","Karimun",2016,11468,12.14,7.75,70.02,69.84
"1735","Karimun",2017,11713,12.15,7.8,70.32,70.26
"1736","Karimun",2018,11945,12.16,7.81,70.52,70.56
"1737","Karimun",2019,12136,12.3,7.92,70.71,71.1
"1738","Karimun",2020,11885,12.42,8.17,70.91,71.44
"1739","Bintan",2010,12837,11.08,8.08,69.42,69.87
"1740","Bintan",2011,13077,11.32,8.13,69.62,70.47
"1741","Bintan",2012,13270,11.55,8.18,69.76,71.01
"1742","Bintan",2013,13441,11.61,8.23,69.86,71.31
"1743","Bintan",2014,13477,11.8,8.3,69.91,71.65
"1744","Bintan",2015,13529,11.98,8.32,69.92,71.92
"1745","Bintan",2016,13667,12.27,8.33,70.02,72.38
"1746","Bintan",2017,13828,12.6,8.34,70.12,72.91
"1747","Bintan",2018,14256,12.75,8.35,70.21,73.41
"1748","Bintan",2019,14730,12.95,8.36,70.3,73.98
"1749","Bintan",2020,14482,13.1,8.44,70.38,74.13
"1750","Natuna",2010,12958,12.33,7.06,61.97,66.29
"1751","Natuna",2011,13101,13.08,7.33,62.46,67.76
"1752","Natuna",2012,13253,13.29,7.75,62.85,68.8
"1753","Natuna",2013,13389,13.5,7.87,63.11,69.39
"1754","Natuna",2014,13414,13.84,8.07,63.24,70.06
"1755","Natuna",2015,13612,13.85,8.45,63.64,70.87
"1756","Natuna",2016,13834,13.86,8.46,63.99,71.23
"1757","Natuna",2017,13970,13.87,8.47,64.33,71.52
"1758","Natuna",2018,14217,13.88,8.71,64.57,72.1
"1759","Natuna",2019,14821,13.89,8.72,64.81,72.63
"1760","Natuna",2020,14705,13.9,8.73,65.06,72.72
"1761","Lingga",2010,10317,10.73,5.24,56.49,57.36
"1762","Lingga",2011,10539,11.03,5.3,57.57,58.51
"1763","Lingga",2012,10739,11.2,5.35,58.45,59.38
"1764","Lingga",2013,10913,11.37,5.4,59.13,60.13
"1765","Lingga",2014,10949,11.59,5.53,59.47,60.75
"1766","Lingga",2015,11158,11.78,5.54,59.77,61.28
"1767","Lingga",2016,11280,12.06,5.85,60.44,62.44
"1768","Lingga",2017,11421,12.42,5.97,61.14,63.45
"1769","Lingga",2018,11499,12.43,6.27,61.44,64.06
"1770","Lingga",2019,12091,12.44,6.51,61.75,64.98
"1771","Lingga",2020,11998,12.45,6.67,62.06,65.29
"1772","Kepulauan Anambas",2010,9992,11.15,6.1,65.25,63.03
"1773","Kepulauan Anambas",2011,10382,11.27,6.11,65.65,63.71
"1774","Kepulauan Anambas",2012,10762,11.38,6.13,65.93,64.32
"1775","Kepulauan Anambas",2013,11112,11.5,6.14,66.13,64.86
"1776","Kepulauan Anambas",2014,11182,11.62,6.16,66.23,65.12
"1777","Kepulauan Anambas",2015,11251,11.63,6.62,66.33,65.86
"1778","Kepulauan Anambas",2016,11320,11.87,6.63,66.54,66.3
"1779","Kepulauan Anambas",2017,11654,12.14,6.69,66.76,67.06
"1780","Kepulauan Anambas",2018,11894,12.32,6.7,66.91,67.53
"1781","Kepulauan Anambas",2019,12065,12.75,6.91,67.06,68.48
"1782","Kepulauan Anambas",2020,11875,12.81,7.17,67.21,68.8
"1783","Kota Batam",2010,16078,11.37,10.53,72.53,76.98
"1784","Kota Batam",2011,16290,11.75,10.74,72.63,77.82
"1785","Kota Batam",2012,16479,12.12,10.77,72.71,78.39
"1786","Kota Batam",2013,16639,12.23,10.79,72.77,78.65
"1787","Kota Batam",2014,16735,12.62,10.8,72.8,79.13
"1788","Kota Batam",2015,16826,12.65,10.81,73,79.34
"1789","Kota Batam",2016,16889,12.67,11.1,73.09,79.79
"1790","Kota Batam",2017,17131,12.94,11.11,73.19,80.26
"1791","Kota Batam",2018,17560,12.95,11.12,73.24,80.54
"1792","Kota Batam",2019,18146,13.15,11.13,73.29,81.09
"1793","Kota Batam",2020,18095,13.16,11.14,73.33,81.11
"1794","Kota Tanjung Pinang",2010,13237,12.34,9.14,71.18,73.76
"1795","Kota Tanjung Pinang",2011,13528,12.73,9.47,71.32,74.86
"1796","Kota Tanjung Pinang",2012,13800,13.12,9.8,71.43,75.91
"1797","Kota Tanjung Pinang",2013,14048,13.59,9.89,71.51,76.7
"1798","Kota Tanjung Pinang",2014,14141,14.03,9.94,71.55,77.29
"1799","Kota Tanjung Pinang",2015,14446,14.05,9.95,71.65,77.57
"1800","Kota Tanjung Pinang",2016,14645,14.06,9.96,71.74,77.77
"1801","Kota Tanjung Pinang",2017,14881,14.07,9.97,71.84,78
"1802","Kota Tanjung Pinang",2018,15292,14.08,9.98,71.93,78.33
"1803","Kota Tanjung Pinang",2019,15838,14.09,9.99,72.02,78.73
"1804","Kota Tanjung Pinang",2020,15498,14.12,10.25,72.1,78.91
"1805","DKI JAKARTA",2010,15111,11.86,10.37,71.71,76.31
"1806","DKI JAKARTA",2011,15943,11.91,10.4,71.87,76.98
"1807","DKI JAKARTA",2012,16613,11.96,10.43,72.03,77.53
"1808","DKI JAKARTA",2013,16828,12.24,10.47,72.19,78.08
"1809","DKI JAKARTA",2014,16898,12.38,10.54,72.27,78.39
"1810","DKI JAKARTA",2015,17075,12.59,10.7,72.43,78.99
"1811","DKI JAKARTA",2016,17468,12.73,10.88,72.49,79.6
"1812","DKI JAKARTA",2017,17707,12.86,11.02,72.55,80.06
"1813","DKI JAKARTA",2018,18128,12.95,11.05,72.67,80.47
"1814","DKI JAKARTA",2019,18527,12.97,11.06,72.79,80.76
"1815","DKI JAKARTA",2020,18227,12.98,11.13,72.91,80.77
"1816","Kep. Seribu",2010,10398,10.25,7.42,66.94,64.96
"1817","Kep. Seribu",2011,10653,10.59,7.58,66.98,65.79
"1818","Kep. Seribu",2012,11180,10.93,7.79,67.03,66.92
"1819","Kep. Seribu",2013,11253,11.21,7.99,67.16,67.62
"1820","Kep. Seribu",2014,11316,11.89,8.03,67.22,68.48
"1821","Kep. Seribu",2015,11433,11.9,8.04,67.72,68.84
"1822","Kep. Seribu",2016,11608,12.1,8.24,67.88,69.52
"1823","Kep. Seribu",2017,11833,12.4,8.25,68.04,70.11
"1824","Kep. Seribu",2018,12264,12.48,8.46,68.27,70.91
"1825","Kep. Seribu",2019,12623,12.56,8.47,68.51,71.4
"1826","Kep. Seribu",2020,12412,12.57,8.68,68.76,71.63
"1827","Kota Jakarta Selatan",2010,19804,11.92,10.68,73.72,80.26
"1828","Kota Jakarta Selatan",2011,20744,12.26,10.81,73.76,81.22
"1829","Kota Jakarta Selatan",2012,21628,12.31,10.86,73.78,81.72
"1830","Kota Jakarta Selatan",2013,22067,12.96,10.95,73.8,82.72
"1831","Kota Jakarta Selatan",2014,22208,13.09,10.97,73.81,82.94
"1832","Kota Jakarta Selatan",2015,22425,13.09,11.23,73.81,83.37
"1833","Kota Jakarta Selatan",2016,22932,13.22,11.42,73.83,83.94
"1834","Kota Jakarta Selatan",2017,23098,13.27,11.47,73.84,84.13
"1835","Kota Jakarta Selatan",2018,23363,13.31,11.57,73.93,84.44
"1836","Kota Jakarta Selatan",2019,23851,13.32,11.62,74.03,84.75
"1837","Kota Jakarta Selatan",2020,23575,13.33,11.63,74.12,84.72
"1838","Kota Jakarta Timur",2010,14960,12.11,10.78,73.89,78.06
"1839","Kota Jakarta Timur",2011,15563,12.28,10.93,73.92,78.82
"1840","Kota Jakarta Timur",2012,16101,12.45,11.08,73.95,79.52
"1841","Kota Jakarta Timur",2013,16181,12.63,11.18,73.98,79.88
"1842","Kota Jakarta Timur",2014,16248,13.06,11.21,74,80.4
"1843","Kota Jakarta Timur",2015,16455,13.08,11.32,74.1,80.73
"1844","Kota Jakarta Timur",2016,16733,13.2,11.52,74.14,81.28
"1845","Kota Jakarta Timur",2017,17007,13.26,11.6,74.18,81.61
"1846","Kota Jakarta Timur",2018,17339,13.43,11.64,74.27,82.06
"1847","Kota Jakarta Timur",2019,17662,13.82,11.65,74.37,82.69
"1848","Kota Jakarta Timur",2020,17438,13.86,11.66,74.47,82.66
"1849","Kota Jakarta Pusat",2010,14837,11.96,10.56,73.39,77.3
"1850","Kota Jakarta Pusat",2011,15362,12.12,10.67,73.46,77.97
"1851","Kota Jakarta Pusat",2012,15591,12.28,10.77,73.53,78.44
"1852","Kota Jakarta Pusat",2013,15820,12.39,10.85,73.58,78.81
"1853","Kota Jakarta Pusat",2014,15922,12.51,10.87,73.6,79.03
"1854","Kota Jakarta Pusat",2015,16143,12.96,10.88,73.7,79.69
"1855","Kota Jakarta Pusat",2016,16493,13.09,11.01,73.76,80.22
"1856","Kota Jakarta Pusat",2017,16719,13.18,11.02,73.83,80.49
"1857","Kota Jakarta Pusat",2018,16994,13.23,11.24,73.92,81.01
"1858","Kota Jakarta Pusat",2019,17285,13.24,11.25,74.02,81.24
"1859","Kota Jakarta Pusat",2020,17179,13.25,11.38,74.11,81.39
"1860","Kota Jakarta Barat",2010,16218,11.6,9.78,73.2,76.65
"1861","Kota Jakarta Barat",2011,17436,11.63,9.82,73.21,77.41
"1862","Kota Jakarta Barat",2012,18344,11.66,9.93,73.22,78.05
"1863","Kota Jakarta Barat",2013,18794,12.01,10.04,73.22,78.79
"1864","Kota Jakarta Barat",2014,18897,12.39,10.13,73.22,79.38
"1865","Kota Jakarta Barat",2015,19006,12.6,10.15,73.32,79.72
"1866","Kota Jakarta Barat",2016,19501,12.69,10.36,73.34,80.34
"1867","Kota Jakarta Barat",2017,19695,12.7,10.37,73.37,80.47
"1868","Kota Jakarta Barat",2018,20298,12.78,10.38,73.45,80.88
"1869","Kota Jakarta Barat",2019,20875,12.79,10.4,73.54,81.21
"1870","Kota Jakarta Barat",2020,20468,12.8,10.63,73.62,81.38
"1871","Kota Jakarta Utara",2010,14923,11.14,9.78,72.72,75.15
"1872","Kota Jakarta Utara",2011,15903,11.47,9.78,72.75,76.12
"1873","Kota Jakarta Utara",2012,16605,11.8,9.78,72.78,76.89
"1874","Kota Jakarta Utara",2013,16851,11.84,9.85,72.8,77.16
"1875","Kota Jakarta Utara",2014,16959,11.89,9.85,72.81,77.29
"1876","Kota Jakarta Utara",2015,17205,12.42,10.05,72.91,78.3
"1877","Kota Jakarta Utara",2016,17418,12.53,10.23,72.95,78.78
"1878","Kota Jakarta Utara",2017,17763,12.55,10.6,72.99,79.47
"1879","Kota Jakarta Utara",2018,18121,12.61,10.69,73.08,79.87
"1880","Kota Jakarta Utara",2019,18566,12.62,10.7,73.18,80.17
"1881","Kota Jakarta Utara",2020,18437,12.63,10.8,73.28,80.29
"1882","JAWA BARAT",2010,9174,10.69,7.4,71.29,66.15
"1883","JAWA BARAT",2011,9249,10.91,7.46,71.56,66.67
"1884","JAWA BARAT",2012,9325,11.24,7.52,71.82,67.32
"1885","JAWA BARAT",2013,9421,11.81,7.58,72.09,68.25
"1886","JAWA BARAT",2014,9447,12.08,7.71,72.23,68.8
"1887","JAWA BARAT",2015,9778,12.15,7.86,72.41,69.5
"1888","JAWA BARAT",2016,10035,12.3,7.95,72.44,70.05
"1889","JAWA BARAT",2017,10285,12.42,8.14,72.47,70.69
"1890","JAWA BARAT",2018,10790,12.45,8.15,72.66,71.3
"1891","JAWA BARAT",2019,11152,12.48,8.37,72.85,72.03
"1892","JAWA BARAT",2020,10845,12.5,8.55,73.04,72.09
"1893","Bogor",2010,8952,10.28,6.9,70.33,64.35
"1894","Bogor",2011,8960,10.59,6.92,70.39,64.78
"1895","Bogor",2012,9000,10.91,7.27,70.43,65.66
"1896","Bogor",2013,9041,11.68,7.4,70.47,66.74
"1897","Bogor",2014,9066,11.81,7.74,70.49,67.36
"1898","Bogor",2015,9368,11.83,7.75,70.59,67.77
"1899","Bogor",2016,9537,12.05,7.83,70.65,68.32
"1900","Bogor",2017,9901,12.43,7.84,70.7,69.13
"1901","Bogor",2018,10323,12.44,7.88,70.86,69.69
"1902","Bogor",2019,10683,12.47,8.29,71.01,70.65
"1903","Bogor",2020,10317,12.48,8.3,71.17,70.4
"1904","Sukabumi",2010,7659,10.08,5.82,69.47,60.69
"1905","Sukabumi",2011,7684,10.1,6.07,69.55,61.14
"1906","Sukabumi",2012,7700,10.73,6.32,69.63,62.27
"1907","Sukabumi",2013,7800,11.8,6.32,69.7,63.63
"1908","Sukabumi",2014,7824,12.12,6.36,69.73,64.07
"1909","Sukabumi",2015,7849,12.13,6.51,70.03,64.44
"1910","Sukabumi",2016,8077,12.18,6.74,70.14,65.13
"1911","Sukabumi",2017,8263,12.19,6.79,70.26,65.49
"1912","Sukabumi",2018,8618,12.2,6.8,70.49,66.05
"1913","Sukabumi",2019,8973,12.22,7.02,70.73,66.87
"1914","Sukabumi",2020,8823,12.23,7.07,70.97,66.88
"1915","Cianjur",2010,6431,9.62,6.17,68.76,58.58
"1916","Cianjur",2011,6496,10.07,6.28,68.86,59.38
"1917","Cianjur",2012,6553,10.62,6.39,68.96,60.28
"1918","Cianjur",2013,6694,11.54,6.5,69.04,61.68
"1919","Cianjur",2014,6733,11.82,6.52,69.08,62.08
"1920","Cianjur",2015,6877,11.83,6.54,69.28,62.42
"1921","Cianjur",2016,7074,11.88,6.61,69.39,62.92
"1922","Cianjur",2017,7300,11.89,6.92,69.49,63.7
"1923","Cianjur",2018,7874,11.9,6.93,69.7,64.62
"1924","Cianjur",2019,8290,11.98,6.97,69.91,65.38
"1925","Cianjur",2020,7980,11.99,7.18,70.13,65.36
"1926","Bandung",2010,8740,10.82,7.98,72.93,67.28
"1927","Bandung",2011,8797,11.01,8.14,72.94,67.78
"1928","Bandung",2012,8846,11.26,8.16,72.95,68.13
"1929","Bandung",2013,8978,11.5,8.18,72.96,68.58
"1930","Bandung",2014,8999,11.74,8.34,72.97,69.06
"1931","Bandung",2015,9375,12.13,8.41,73.07,70.05
"1932","Bandung",2016,9580,12.42,8.5,73.1,70.69
"1933","Bandung",2017,9854,12.43,8.51,73.13,71.02
"1934","Bandung",2018,10203,12.64,8.58,73.26,71.75
"1935","Bandung",2019,10502,12.68,8.79,73.4,72.41
"1936","Bandung",2020,10201,12.69,8.96,73.53,72.39
"1937","Garut",2010,6150,10.36,6.68,70.34,60.23
"1938","Garut",2011,6195,10.52,6.71,70.39,60.55
"1939","Garut",2012,6233,10.85,6.75,70.43,61.04
"1940","Garut",2013,6355,11.17,6.8,70.47,61.67
"1941","Garut",2014,6372,11.62,6.83,70.49,62.23
"1942","Garut",2015,6875,11.65,6.84,70.69,63.21
"1943","Garut",2016,7079,11.69,6.88,70.76,63.64
"1944","Garut",2017,7270,11.73,7.28,70.84,64.52
"1945","Garut",2018,7597,11.8,7.5,71.03,65.42
"1946","Garut",2019,8099,11.82,7.51,71.22,66.22
"1947","Garut",2020,7876,11.91,7.52,71.41,66.12
"1948","Tasikmalaya",2010,6620,10.76,6.59,67.54,60.21
"1949","Tasikmalaya",2011,6664,11.38,6.64,67.67,61.05
"1950","Tasikmalaya",2012,6699,11.83,6.68,67.79,61.69
"1951","Tasikmalaya",2013,6818,12.29,6.69,67.9,62.4
"1952","Tasikmalaya",2014,6830,12.41,6.87,67.96,62.79
"1953","Tasikmalaya",2015,6934,12.44,6.88,68.36,63.17
"1954","Tasikmalaya",2016,7081,12.46,6.94,68.54,63.57
"1955","Tasikmalaya",2017,7250,12.47,7.12,68.71,64.14
"1956","Tasikmalaya",2018,7761,12.48,7.13,68.96,65
"1957","Tasikmalaya",2019,8092,12.52,7.17,69.21,65.64
"1958","Tasikmalaya",2020,7852,12.53,7.35,69.47,65.67
"1959","Ciamis",2010,7888,11.75,6.96,69.99,64.64
"1960","Ciamis",2011,7951,12.21,7.14,70.09,65.48
"1961","Ciamis",2012,8007,12.83,7.17,70.19,66.29
"1962","Ciamis",2013,8147,13.46,7.2,70.29,67.2
"1963","Ciamis",2014,8162,13.57,7.44,70.34,67.64
"1964","Ciamis",2015,8296,13.59,7.45,70.74,68.02
"1965","Ciamis",2016,8432,13.65,7.55,70.9,68.45
"1966","Ciamis",2017,8658,13.66,7.59,71.07,68.87
"1967","Ciamis",2018,9190,13.67,7.6,71.32,69.63
