cr_id,cr_name,province_id,province_name,city
2511,Tambrauw,25,Papua Barat,FALSE
2512,Teluk Bintuni,25,Papua Barat,FALSE
2513,Teluk Wondama,25,Papua Barat,FALSE
2601,Bengkalis,26,Riau,FALSE
2602,Indragiri Hilir,26,Riau,FALSE
2603,Indragiri Hulu,26,Riau,FALSE
2604,Kampar,26,Riau,FALSE
2605,Kepulauan Meranti,26,Riau,FALSE
2606,Kota Dumai,26,Riau,TRUE
2607,Kota Pekanbaru,26,Riau,TRUE
2608,Kuantan Singingi,26,Riau,FALSE
2609,Pelalawan,26,Riau,FALSE
2610,Rokan Hilir,26,Riau,FALSE
2611,Rokan Hulu,26,Riau,FALSE
2612,Siak,26,Riau,FALSE
2701,Majene,27,Sulawesi Barat,FALSE
2702,Mamasa,27,Sulawesi Barat,FALSE
2703,Mamuju,27,Sulawesi Barat,FALSE
2704,Mamuju Tengah,27,Sulawesi Barat,FALSE
2705,Mamuju Utara,27,Sulawesi Barat,FALSE
2706,Polewali Mandar,27,Sulawesi Barat,FALSE
2801,Bantaeng,28,Sulawesi Selatan,FALSE
2802,Barru,28,Sulawesi Selatan,FALSE
2803,Bone,28,Sulawesi Selatan,FALSE
2804,Bulukumba,28,Sulawesi Selatan,FALSE
2805,Enrekang,28,Sulawesi Selatan,FALSE
2806,Gowa,28,Sulawesi Selatan,FALSE
2807,Jeneponto,28,Sulawesi Selatan,FALSE
2808,Kepulauan Selayar,28,Sulawesi Selatan,FALSE
2809,Kota Makassar,28,Sulawesi Selatan,TRUE
2810,Kota Palopo,28,Sulawesi Selatan,TRUE
2811,Kota Parepare,28,Sulawesi Selatan,TRUE
2812,Luwu,28,Sulawesi Selatan,FALSE
2813,Luwu Timur,28,Sulawesi Selatan,FALSE
2814,Luwu Utara,28,Sulawesi Selatan,FALSE
2815,Maros,28,Sulawesi Selatan,FALSE
2816,Pangkajene dan Kepulauan,28,Sulawesi Selatan,FALSE
2817,Pinrang,28,Sulawesi Selatan,FALSE
2818,Sidenreng Rappang,28,Sulawesi Selatan,FALSE
2819,Sinjai,28,Sulawesi Selatan,FALSE
2820,Soppeng,28,Sulawesi Selatan,FALSE
2821,Takalar,28,Sulawesi Selatan,FALSE
2822,Tana Toraja,28,Sulawesi Selatan,FALSE
2823,Toraja Utara,28,Sulawesi Selatan,FALSE
2824,Wajo,28,Sulawesi Selatan,FALSE
2901,Banggai,29,Sulawesi Tengah,FALSE
2902,Banggai Kepulauan,29,Sulawesi Tengah,FALSE
2903,Banggai Laut,29,Sulawesi Tengah,FALSE
2904,Buol,29,Sulawesi Tengah,FALSE
2905,Donggala,29,Sulawesi Tengah,FALSE
2906,Kota Palu,29,Sulawesi Tengah,TRUE
2907,Morowali,29,Sulawesi Tengah,FALSE
2908,Morowali Utara,29,Sulawesi Tengah,FALSE
2909,Parigi Moutong,29,Sulawesi Tengah,FALSE
2910,Poso,29,Sulawesi Tengah,FALSE
2911,Sigi,29,Sulawesi Tengah,FALSE
2912,Tojo Una-Una,29,Sulawesi Tengah,FALSE
2913,Toli-Toli,29,Sulawesi Tengah,FALSE
3001,Bombana,30,Sulawesi Tenggara,FALSE
3002,Buton,30,Sulawesi Tenggara,FALSE
3003,Buton Selatan,30,Sulawesi Tenggara,FALSE
3004,Buton Tengah,30,Sulawesi Tenggara,FALSE
3005,Buton Utara,30,Sulawesi Tenggara,FALSE
3006,Kolaka,30,Sulawesi Tenggara,FALSE
3007,Kolaka Timur,30,Sulawesi Tenggara,FALSE
3008,Kolaka Utara,30,Sulawesi Tenggara,FALSE
3009,Konawe,30,Sulawesi Tenggara,FALSE
3010,Konawe Kepulauan,30,Sulawesi Tenggara,FALSE
3011,Konawe Selatan,30,Sulawesi Tenggara,FALSE
3012,Konawe Utara,30,Sulawesi Tenggara,FALSE
3013,Kota Baubau,30,Sulawesi Tenggara,TRUE
3014,Kota Kendari,30,Sulawesi Tenggara,TRUE
3015,Muna,30,Sulawesi Tenggara,FALSE
3016,Muna Barat,30,Sulawesi Tenggara,FALSE
3017,Wakatobi,30,Sulawesi Tenggara,FALSE
3101,Bolaang Mongondow,31,Sulawesi Utara,FALSE
3102,Bolaang Mongondow Selatan,31,Sulawesi Utara,FALSE
3103,Bolaang Mongondow Timur,31,Sulawesi Utara,FALSE
3104,Bolaang Mongondow Utara,31,Sulawesi Utara,FALSE
